group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_998c2a381a5403b0d2c4	cea_g_0b7bc79eae15ce7c1e1c	0.50	58	59	3	4	27	55	55	4
ceb_g_46057cd522fe0e242240	cea_g_0b7bc79eae15ce7c1e1c	0.60	58	57	6	6	29	52	52	5
ceb_g_34abd541ed819eb65d7a	cea_g_0b838a755240434866b8	0.10	55	56	0	0	8	55	54	1
ceb_g_cf2cbe9ea87f77c20f60	cea_g_0b838a755240434866b8	0.20	55	55	2	1	13	53	52	2
ceb_g_eb095f7153f995aded5d	cea_g_0b838a755240434866b8	0.30	55	52	5	1	14	50	50	2
ceb_g_ad10dfe7b268e03047bf	cea_g_0b838a755240434866b8	0.40	55	54	4	7	20	51	51	3
ceb_g_437ebe80c22c642e2f56	cea_g_0b838a755240434866b8	0.50	55	55	4	1	27	51	51	4
ceb_g_6b47d4cc92d0d3827bca	cea_g_0b838a755240434866b8	0.60	55	54	6	3	30	49	49	5
ceb_g_c02dbd9b2119545ae02b	cea_g_0b935b76f15d3b83f273	0.10	53	52	2	0	2	51	50	1
ceb_g_b962e0bfef8907e65107	cea_g_0b935b76f15d3b83f273	0.20	53	53	2	2	17	51	51	2
ceb_g_e0f52f0d9cd7625c1fc6	cea_g_0b935b76f15d3b83f273	0.30	53	50	5	0	20	48	48	2
ceb_g_f8f78f79154c0e16cf8d	cea_g_0b935b76f15d3b83f273	0.40	53	51	5	5	25	48	48	3
ceb_g_9c7081abc7c65902a8ca	cea_g_0b935b76f15d3b83f273	0.50	53	51	6	3	25	47	47	4
ceb_g_d28bc368fed12a624321	cea_g_0b935b76f15d3b83f273	0.60	53	51	7	4	29	46	46	5
ceb_g_b02669182f594e38d389	cea_g_0b95573b9a473eed51eb	0.10	57	58	0	0	8	57	56	1
ceb_g_7ff4fa7f87cbef2f165b	cea_g_0b95573b9a473eed51eb	0.20	57	57	2	4	11	55	54	2
ceb_g_44d0c91000db20c6eabe	cea_g_0b95573b9a473eed51eb	0.30	57	56	4	0	10	53	53	3
ceb_g_56387f58c0d4e0cc5ea5	cea_g_0b95573b9a473eed51eb	0.40	57	56	4	5	18	53	53	3
ceb_g_e315088b840280580118	cea_g_0b95573b9a473eed51eb	0.50	57	55	6	5	29	51	51	4
ceb_g_9ba6bce834e2a7119d3f	cea_g_0b95573b9a473eed51eb	0.60	57	54	8	5	28	49	49	5
ceb_g_1fa108806613c2f0bf33	cea_g_0c01e0bacc17112e267a	0.10	41	41	1	0	7	40	40	1
ceb_g_2fa7d6b30c079290fb4e	cea_g_0c01e0bacc17112e267a	0.20	41	39	3	2	7	38	37	1
ceb_g_69be9f570eec914ae158	cea_g_0c01e0bacc17112e267a	0.30	41	42	1	4	13	40	39	2
ceb_g_a8cc241bc4faf3734cb3	cea_g_0c01e0bacc17112e267a	0.40	41	39	4	3	9	37	36	2
ceb_g_5a26126f19c913e8e277	cea_g_0c01e0bacc17112e267a	0.50	41	39	5	0	21	36	36	3
ceb_g_f0e92fede503b09c7f36	cea_g_0c01e0bacc17112e267a	0.60	41	42	3	6	21	38	38	4
ceb_g_0a77e67159d2ac949b9a	cea_g_0c779272b907823d4cbb	0.10	56	54	3	2	5	53	52	1
ceb_g_01387e1cb089323030fa	cea_g_0c779272b907823d4cbb	0.20	56	57	1	2	14	55	55	2
ceb_g_9042ede51fd84b42fb5c	cea_g_0c779272b907823d4cbb	0.30	56	58	1	2	17	55	55	3
ceb_g_a8bdc625cde8f3238ab8	cea_g_0c779272b907823d4cbb	0.40	56	55	4	3	15	52	52	3
ceb_g_b2bf26f6e21f3ff69f12	cea_g_0c779272b907823d4cbb	0.50	56	55	5	3	23	51	51	4
ceb_g_6c9561d41101cc4040ea	cea_g_0c779272b907823d4cbb	0.60	56	54	7	2	27	49	49	5
